Purchasing Household Id,Total Follow Up Orders,Is Oad,Customer Retained,Product Id First Order,product price,Product Price Bucket,2022 Score,2022 score buckets,is gorgeous box,Total Gmv Three Month (PHH_GMV),Product Category,avg_category_price,relation to avg_category_price
4293799,0,true,false,30951.0,89.95,80.0,51.0,50.0,false,119.95,,,
4305270,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,19.9,,,
4293004,0,true,false,14857.0,129.95,120.0,40.0,40.0,false,,,,
4366186,0,true,false,22956.0,119.95,110.0,63.0,60.0,false,119.95,,,
4249624,0,true,false,32621.0,89.95,80.0,51.0,50.0,true,89.95,,,
4378000,0,true,false,23549.0,74.95,70.0,20.0,20.0,false,77.95,Cupcakes,80.04792387543253,less
4305515,0,true,false,21070.0,79.95,70.0,49.0,40.0,false,80.75,Sandwich Kits,122.9220720720721,less
4360667,0,true,false,30056.0,109.95,100.0,34.0,30.0,false,114.35,,,
4235485,0,true,false,34336.0,99.95,90.0,50.0,50.0,false,109.95,,,
4288999,0,true,false,22343.0,179.95,170.0,42.0,40.0,false,,,,
4225504,0,true,false,25959.0,155.95,150.0,28.0,20.0,false,190.95,Beef,151.9156701030928,more
4299996,0,true,false,21070.0,79.95,70.0,49.0,40.0,false,82.45,Sandwich Kits,122.9220720720721,less
4247519,0,true,false,27299.0,89.95,80.0,38.0,30.0,true,109.14,,,
4286004,0,true,false,31772.0,129.99,120.0,52.0,50.0,false,9.99,Meal Kits,155.47069216757743,less
4214395,0,true,false,20730.0,84.95,80.0,37.0,30.0,false,86.65,,,
4382118,1,false,true,18164.0,70.0,70.0,33.0,30.0,true,122.77,,,
4284161,0,true,false,26210.0,89.95,80.0,40.0,40.0,true,,,,
4217227,0,true,false,26688.0,125.95,120.0,45.0,40.0,false,109.95,,,
4200183,0,true,false,27369.0,82.95,80.0,36.0,30.0,false,84.95,,,
4239678,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,,,,
4372190,0,true,false,25093.0,145.95,140.0,39.0,30.0,true,184.95,,,
4317371,0,true,false,35432.0,149.95,140.0,43.0,40.0,false,149.95,Chicken Salad,80.10000000000001,more
4262792,0,true,false,27880.0,149.95,140.0,33.0,30.0,false,49.95,,,
4309258,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,109.95,,,
4217484,0,true,false,26688.0,125.95,120.0,45.0,40.0,false,129.95,,,
4275714,0,true,false,17717.0,99.95,90.0,36.0,30.0,false,99.95,,,
4306210,0,true,false,15397.0,85.95,80.0,39.0,30.0,false,85.95,Loaf Cakes,59.51410256410257,more
4359059,0,true,false,29883.0,249.95,240.0,50.0,50.0,false,254.95,"Savory Toppings, Condiments & Spreads",54.28556862745098,more
4266434,0,true,false,42143.0,99.95,90.0,47.0,40.0,true,51.95,,,
4258800,0,true,false,30951.0,89.95,80.0,51.0,50.0,false,,,,
4286472,0,true,false,42143.0,99.95,90.0,47.0,40.0,true,99.95,,,
4344728,0,true,false,27357.0,89.95,80.0,26.0,20.0,false,93.55,Steaks,232.04182648401826,less
4348855,0,true,false,23661.0,154.95,150.0,42.0,40.0,false,161.95,,,
4355749,0,true,false,25857.0,79.95,70.0,52.0,50.0,true,82.95,,,
4320475,0,true,false,23821.0,89.95,80.0,38.0,30.0,true,83.95,,,
4261505,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4284566,0,true,false,23977.0,99.95,90.0,45.0,40.0,false,106.7,,,
4263796,0,true,false,24221.0,79.95,70.0,34.0,30.0,false,74.95,Chocolate Covered,60.485625000000006,more
4250061,0,true,false,39449.0,89.95,80.0,29.0,20.0,true,83.95,"Savory Toppings, Condiments & Spreads",54.28556862745098,more
4361247,0,true,false,23475.0,79.95,70.0,42.0,40.0,false,69.95,Loaf Cakes,59.51410256410257,more
4274598,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4376536,0,true,false,26210.0,89.95,80.0,40.0,40.0,true,104.95,,,
4269038,0,true,false,31274.0,89.95,80.0,56.0,50.0,false,197.44,,,
4269038,0,true,false,18164.0,70.0,70.0,33.0,30.0,true,197.44,,,
4273855,0,true,false,23475.0,79.95,70.0,42.0,40.0,false,69.95,Loaf Cakes,59.51410256410257,more
4309159,0,true,false,34180.0,99.95,90.0,46.0,40.0,false,101.95,,,
4380545,0,true,false,27299.0,89.95,80.0,38.0,30.0,true,85.95,,,
4300887,0,true,false,23556.0,199.95,190.0,31.0,30.0,false,207.95,,,
4351331,0,true,false,39092.0,75.95,70.0,50.0,50.0,true,21.74,Biscuits,85.39880952380952,less
4244883,0,true,false,31772.0,129.99,120.0,52.0,50.0,false,9.94,Meal Kits,155.47069216757743,less
4347396,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,109.95,,,
4346139,1,false,true,23690.0,99.95,90.0,47.0,40.0,false,92.4,Pork,120.99011494252873,less
4313232,0,true,false,15674.0,125.95,120.0,56.0,50.0,false,145.95,,,
4348421,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,76.99,,,
4299160,0,true,false,39033.0,79.95,70.0,47.0,40.0,true,99.95,Pudding,81.2659574468085,less
4260859,0,true,false,22956.0,119.95,110.0,63.0,60.0,false,119.95,,,
4337741,0,true,false,27301.0,89.95,80.0,58.0,50.0,true,120.95,,,
4368682,0,true,false,20844.0,75.95,70.0,40.0,40.0,true,117.95,Sweet Breads,65.52601156069365,more
4240553,0,true,false,26790.0,70.0,70.0,29.0,20.0,false,,,,
4337187,0,true,false,27301.0,89.95,80.0,58.0,50.0,true,,,,
4354290,0,true,false,31272.0,89.95,80.0,37.0,30.0,false,112.15,,,
